Type,Size,Threads,Solutions,FirstTime_s,TotalTime_s,MaxMemory_KB,CPU_Percent,ContextSwitches,PageFaults,Status
sparse,8,1,12162550,0,89.8087,1816976,99,,page,OK
sparse,8,4,33907095,0,89.8507,17254588,366,,page,OK
sparse,8,8,45228370,0,89.827,41951756,697,,page,OK
sparse,8,16,34550530,0,89.821,89540228,1181,,page,OK
sparse,8,32,13499721,0,89.8377,180305736,1685,,page,OK
sparse,8,48,105588,0,89.8053,208079200,1736,,page,OK
sparse,8,64,65788,0,89.8092,182875740,2016,,page,OK
sparse,16,1,0,0,89.8354,257925840,99,,page,OK
sparse,16,4,14980,0,89.826,521213124,311,,page,OK
sparse,16,8,0,0,90,522237756,408,,page,TIMEOUT
sparse,16,16,4206,0,89.8291,233425024,792,,page,OK
sparse,16,32,28636,0,89.8234,228854756,1317,,page,OK
sparse,16,48,5985,0,89.8161,203005080,1705,,page,OK
sparse,16,64,3724,0,89.828,185079260,2000,,page,OK
sparse,24,1,0,0,89.84,128051016,99,,page,OK
sparse,24,4,50621,0,50621,522532188,283,,page,OK
sparse,24,8,0,0,90,522889008,387,,page,TIMEOUT
sparse,24,16,43498,0,89.8332,221010980,814,,page,OK
sparse,24,32,3718,0,89.8408,219300460,1341,,page,OK
sparse,24,48,8355,0,89.8251,206228392,1683,,page,OK
sparse,24,64,2085,0,89.8035,181165816,1983,,page,OK
sparse,32,1,6498,0,89.8378,254577876,99,,page,OK
sparse,32,8,2475,0,89.831,523453548,426,,page,OK
sparse,32,16,498,0,89.8207,226737320,797,,page,OK
sparse,32,32,466,0,89.8401,226437108,1315,,page,OK
sparse,32,48,436,0,89.8291,211361560,1685,,page,OK
sparse,32,64,229,0,89.8058,180439200,1989,,page,OK
dense,8,1,8210175,0,89.8247,6236520,99,,page,OK
dense,8,4,27176145,0,89.8131,22670428,366,,page,OK
dense,8,8,28663124,0,89.8225,257952708,622,,page,OK
dense,8,16,14197461,0,89.8412,174483024,984,,page,OK
dense,8,32,226559,0,89.8623,230776692,1364,,page,OK
dense,8,48,45772,0,89.83,214537728,1807,,page,OK
dense,8,64,48869,0,89.8101,186952356,1991,,page,OK
dense,16,1,0,0,89.8394,1097564,99,,page,OK
dense,16,4,0,0,89.8194,3928864,396,,page,OK
dense,16,8,0,0,89.8602,4628360,784,,page,OK
dense,16,16,0,0,89.8221,12271536,1561,,page,OK
dense,16,32,0,0,89.8185,23279196,2972,,page,OK
dense,16,48,0,0,89.8516,27233696,4287,,page,OK
dense,16,64,0,0,89.8522,38160028,5533,,page,OK
dense,24,1,10435143,0,89.8611,31284172,99,,page,OK
dense,24,4,0,0,89.8185,183895668,381,,page,OK
dense,24,8,27836,0,27836,523549732,428,,page,OK
dense,24,16,5661,0,89.8344,232490100,803,,page,OK
dense,24,32,8328,0,89.8202,228128216,1325,,page,OK
dense,24,48,8796,0,89.8279,204344324,1729,,page,OK
dense,24,64,4310,0,4310,183905676,2041,,page,OK
dense,32,1,0,0,89.8399,1626944,99,,page,OK
dense,32,4,0,0,89.8237,3732904,398,,page,OK
dense,32,8,0,0,89.8112,8148096,791,,page,OK
dense,32,16,0,0,89.8142,7128928,1574,,page,OK
dense,32,32,0,0,89.8514,66601940,3017,,page,OK
dense,32,48,0,0,89.8512,57836952,4419,,page,OK
dense,32,64,0,0,89.8546,30147620,6007,,page,OK
sparse,32,8,0,0,90,523914420,435,,page,TIMEOUT
sparse,32,16,714,0,89.8357,228161000,802,,page,OK
sparse,32,32,524,0,89.8321,224868920,1323,,page,OK
sparse,32,48,247,0,89.8283,207873172,1737,,page,OK
sparse,32,64,230,0,89.8078,180445444,1995,,page,OK
dense,8,1,8397418,0,89.8385,6236608,99,,page,OK
dense,8,4,31120161,0,89.8169,16254876,386,,page,OK
dense,8,8,34682000,0,89.8527,71889368,685,,page,OK
dense,8,16,8451350,0,89.8691,203486556,919,,page,OK
dense,8,32,359071,0,89.8376,236333112,1352,,page,OK
dense,8,48,166771,0,89.7898,219548496,1801,,page,OK
dense,8,64,29056,0,89.8066,188723500,1997,,page,OK
dense,16,1,0,0,89.8596,1097532,99,,page,OK
dense,16,4,0,0,89.8338,4256888,396,,page,OK
dense,16,8,0,0,89.8492,5248064,785,,page,OK
dense,16,16,0,0,89.842,10751204,1561,,page,OK
dense,16,32,638,0,638,20394872,3024,,page,OK
dense,16,48,0,0,89.8522,37322268,4287,,page,OK
dense,16,64,0,0,89.8495,40800460,5395,,page,OK
dense,24,1,10459664,0,89.861,31284220,99,,page,OK
dense,24,4,149477,0,89.8936,523501516,295,,page,OK
dense,24,8,22011,0,89.8902,523675188,454,,page,OK
dense,24,16,10108,0,89.8407,228354028,814,,page,OK
dense,24,32,5044,0,89.821,227121596,1342,,page,OK
dense,24,48,9906,0,89.7986,213854544,1753,,page,OK
dense,24,64,12002,0,89.8285,184730164,2055,,page,OK
dense,32,1,0,0,89.8318,1627056,99,,page,OK
dense,32,4,0,0,89.8093,3956492,398,,page,OK
dense,32,8,0,0,89.8112,5225552,792,,page,OK
dense,32,16,0,0,89.8393,7922552,1574,,page,OK
dense,32,32,0,0,89.8673,23343756,3085,,page,OK
dense,32,48,0,0,89.8397,23578328,4549,,page,OK
dense,32,64,0,0,89.8506,37811032,5969,,page,OK
