Type,Size,Threads,Solutions,FirstTime_s,TotalTime_s,MaxMemory_MB,AvgMemory_MB,CPU_Percent,ContextSwitches,PageFaults,Status
sparse,8,1,12895483,0,89.8151,0,0,,,,TIMEOUT_PARTIAL
sparse,8,4,35361559,0,89.816,0,0,,,,TIMEOUT_PARTIAL
sparse,8,8,45855633,0,89.8333,0,0,,,,TIMEOUT_PARTIAL
sparse,8,16,34630334,0,89.8281,0,0,,,,TIMEOUT_PARTIAL
sparse,8,32,10419623,0,89.8597,0,0,,,,TIMEOUT_PARTIAL
sparse,8,48,84496,0,89.8504,0,0,,,,TIMEOUT_PARTIAL
sparse,8,64,0,0,90,0,0,,,,TIMEOUT
sparse,16,1,0,0,89.8026,0,0,,,,TIMEOUT_PARTIAL
sparse,16,4,46024,0,89.8631,0,0,,,,TIMEOUT_PARTIAL
sparse,16,8,72907,0,89.6948,0,0,,,,TIMEOUT_PARTIAL
sparse,16,16,12045,0,89.8134,0,0,,,,TIMEOUT_PARTIAL
sparse,16,32,6220,0,89.8043,0,0,,,,TIMEOUT_PARTIAL
sparse,16,48,3789,0,89.7783,0,0,,,,TIMEOUT_PARTIAL
sparse,16,64,2915,0,89.7859,0,0,,,,TIMEOUT_PARTIAL
sparse,24,1,0,0,89.8068,0,0,,,,TIMEOUT_PARTIAL
sparse,24,4,0,0,90,0,0,,,,TIMEOUT
sparse,24,8,6609,0,89.4949,0,0,,,,TIMEOUT_PARTIAL
sparse,24,16,2249,0,89.5959,0,0,,,,TIMEOUT_PARTIAL
sparse,24,32,4175,0,89.8131,0,0,,,,TIMEOUT_PARTIAL
sparse,24,48,963,0,89.7949,0,0,,,,TIMEOUT_PARTIAL
sparse,24,64,0,0,90,0,0,,,,TIMEOUT
sparse,32,1,6393,0,89.798,0,0,,,,TIMEOUT_PARTIAL
sparse,32,4,0,0,90,0,0,,,,TIMEOUT
sparse,32,8,0,0,90,0,0,,,,TIMEOUT
sparse,32,16,476,0,89.7553,0,0,,,,TIMEOUT_PARTIAL
sparse,32,32,412,0,89.7986,0,0,,,,TIMEOUT_PARTIAL
sparse,32,48,384,0,89.7776,0,0,,,,TIMEOUT_PARTIAL
sparse,32,64,0,0,90,0,0,,,,TIMEOUT
dense,8,1,7962960,0,89.8064,0,0,,,,TIMEOUT_PARTIAL
dense,8,4,24219229,0,89.8073,0,0,,,,TIMEOUT_PARTIAL
dense,8,8,36167631,0,89.8327,0,0,,,,TIMEOUT_PARTIAL
dense,8,16,18476752,0,89.8357,0,0,,,,TIMEOUT_PARTIAL
dense,8,32,200885,0,89.8342,0,0,,,,TIMEOUT_PARTIAL
dense,8,48,118494,0,89.7892,0,0,,,,TIMEOUT_PARTIAL
dense,8,64,62506,0,89.7942,0,0,,,,TIMEOUT_PARTIAL
dense,16,1,0,0,89.8079,0,0,,,,TIMEOUT_PARTIAL
dense,16,4,0,0,89.8397,0,0,,,,TIMEOUT_PARTIAL
dense,16,8,0,0,89.8325,0,0,,,,TIMEOUT_PARTIAL
dense,16,16,0,0,89.8616,0,0,,,,TIMEOUT_PARTIAL
dense,16,32,0,0,89.8642,0,0,,,,TIMEOUT_PARTIAL
dense,16,48,0,0,89.8516,0,0,,,,TIMEOUT_PARTIAL
dense,16,64,0,0,89.8585,0,0,,,,TIMEOUT_PARTIAL
dense,24,1,10691185,0,89.8726,0,0,,,,TIMEOUT_PARTIAL
dense,24,4,0,0,90,0,0,,,,TIMEOUT
dense,24,8,108559,0,89.7662,0,0,,,,TIMEOUT_PARTIAL
dense,24,16,13775,0,89.7687,0,0,,,,TIMEOUT_PARTIAL
dense,24,32,82661,0,89.8375,0,0,,,,TIMEOUT_PARTIAL
dense,24,48,6546,0,89.8205,0,0,,,,TIMEOUT_PARTIAL
dense,24,64,0,0,90,0,0,,,,TIMEOUT
dense,32,1,0,0,89.8017,0,0,,,,TIMEOUT_PARTIAL
dense,32,4,0,0,89.8369,0,0,,,,TIMEOUT_PARTIAL
dense,32,8,0,0,89.8612,0,0,,,,TIMEOUT_PARTIAL
dense,32,16,0,0,89.8282,0,0,,,,TIMEOUT_PARTIAL
dense,32,32,0,0,89.835,0,0,,,,TIMEOUT_PARTIAL
dense,32,48,0,0,89.8541,0,0,,,,TIMEOUT_PARTIAL
dense,32,64,0,0,89.8593,0,0,,,,TIMEOUT_PARTIAL
